,mae,mse,rmse,r2
SOH_DeNN_bagging_mit_task4_6-5.6-4.4-3.834_21,0.018272556364536,0.000742410076782,0.027247203100173003,0.6115770073261431
SOH_DeNN_bagging_mit_task4_6-5.6-4.4-3.834_22,0.019781224429607003,0.0008404041873290001,0.028989725547667003,0.566027118000601
SOH_DeNN_bagging_mit_task4_6-5.6-4.4-3.834_31,0.019417146220803,0.0009216557955360001,0.030358784487145,0.618316135889007
SOH_DeNN_bagging_mit_task4_6-5.6-4.4-3.834_36,0.029424834996461,0.003142042551189,0.056053925386092,0.25919842323644804
SOH_DeNN_bagging_mit_task4_6-5.6-4.4-3.834_9,0.020033899694681,0.001003364217467,0.031675924887327005,0.599807440792828
0,0.0213859323412176,0.0013299753656606,0.034865112681680806,0.5309852250490055
