,mae,mse,rmse,r2,exp_itr
rul_task3_PatchTST_mit_pseudo_4.8-5.2-5.2-4.16_10_task3,58.606475830078125,7537.9482421875,86.82135772705078,0.8346729278564451,20241.0
rul_task3_PatchTST_mit_pseudo_4.8-5.2-5.2-4.16_1_task3,141.72665405273438,29508.302734375,171.77981567382812,0.22240471839904702,20241.0
rul_task3_PatchTST_mit_pseudo_4.8-5.2-5.2-4.16_20_task3,96.15043640136719,12601.87109375,112.258056640625,0.7039440870285031,20241.0
rul_task3_PatchTST_mit_pseudo_4.8-5.2-5.2-4.16_2_task3,89.65455627441406,10632.6533203125,103.11476135253906,0.700613915920257,20241.0
rul_task3_PatchTST_mit_pseudo_4.8-5.2-5.2-4.16_42_task3,60.266910552978516,6882.7041015625,82.96206665039062,0.9080090522766111,20241.0
0,89.28100662231445,13432.6958984375,111.38721160888672,0.6739289402961728,
