,mae,mse,rmse,r2,exp_itr
soh_task11_PatchTST_xjtu_pseudo_R3_battery-1_task11,0.113729894161224,0.024295654147863003,0.155870631337165,0.6080464124679561,20241.0
soh_task11_PatchTST_xjtu_pseudo_R3_battery-2_task11,0.15515238046646102,0.039361611008644,0.19839760661125103,0.5070585608482361,20241.0
soh_task11_PatchTST_xjtu_pseudo_R3_battery-3_task11,0.114699162542819,0.025281731039285,0.15900230407714802,0.5985361337661741,20241.0
soh_task11_PatchTST_xjtu_pseudo_R3_battery-4_task11,0.14897084236145,0.040016487240791,0.200041219592094,0.420172810554504,20241.0
soh_task11_PatchTST_xjtu_pseudo_R3_battery-5_task11,0.16023559868335702,0.043590608984231005,0.208783641457557,0.46373575925827004,20241.0
soh_task11_PatchTST_xjtu_pseudo_R3_battery-6_task11,0.180649846792221,0.056688778102397,0.23809404671192103,0.28201210498809803,20241.0
soh_task11_PatchTST_xjtu_pseudo_R3_battery-7_task11,0.202669963240623,0.07166014611721,0.267694115638732,0.17856758832931502,20241.0
soh_task11_PatchTST_xjtu_pseudo_R3_battery-8_task11,0.19285254180431302,0.064651161432266,0.25426593422889704,0.329663395881652,20241.0
0,0.1586200287565585,0.045693272259085885,0.21026868745684563,0.42347409576177575,
