,mae,mse,rmse,r2
6-5.6-4.4-3.834_21,0.010473097674548001,0.00018720403022500003,0.013682252381314002,0.850584463209874
6-5.6-4.4-3.834_22,0.010435059666633,0.00019659272220400002,0.014021152670323,0.797043866162037
6-5.6-4.4-3.834_31,0.014430752024054002,0.00034200589288900003,0.018493401333707003,0.7387644637252491
6-5.6-4.4-3.834_36,0.008612737990915,0.00011888449807800001,0.010903416807535002,0.8930505896690261
6-5.6-4.4-3.834_9,0.013238351792097001,0.000290917058009,0.017056290863187003,0.776473421574928
0,0.0114379998296494,0.000227120840281,0.014831302811213202,0.8111833608682228
