,res_propeller,res_underhang,res_s3
0,0.0,83.49805823317907,76.83095903536199
1,0.0,71.18571369509267,59.498202165264345
2,100.0,66.92545360334475,75.82925891591053
3,100.0,87.18351368500679,92.77768252608546
4,100.0,76.73161059387785,78.92901793726107
5,100.0,85.48003364116013,79.6811973935858
6,100.0,89.44753691851813,85.2264047755705
7,100.0,91.7121481759724,88.39389851308653
8,100.0,93.17650439678246,90.44296992177043
9,100.0,94.20109577017209,91.87708822751281
10,100.0,94.95816016901276,92.93696402378143
11,100.0,95.54037732972427,93.75218010829111
12,100.0,96.00204918916046,94.39868525686698
13,100.0,96.37710119501608,94.92394081760692
14,100.0,96.68782028685696,95.35913216384202
15,100.0,96.94945156357866,95.72559467793256
16,100.0,97.17277587602433,96.0384180676142
17,100.0,97.36563245050029,96.3085759407291
18,100.0,97.53385812134663,96.54423966806677
19,100.0,97.68188829887181,96.75161918404184
20,100.0,97.81315375472818,96.9355181913736
21,100.0,97.9303498216772,97.09971088268138
22,100.0,98.03562343560922,97.24720371504596
23,100.0,98.13070585679253,97.38042117600621
24,100.0,98.21700862576485,97.5013401005047
25,100.0,98.29569411135336,97.61158842926271
26,100.0,98.36772816803288,97.71251892705598
27,100.0,98.43391998113131,97.80526496761244
28,100.0,98.49495259505115,97.89078327654863
29,100.0,98.55140657085236,97.96988705619496
30,100.0,98.60377851198739,98.04327192603792
31,100.0,98.65249571161729,98.11153643326587
32,100.0,98.69792783685605,98.17519841474379
33,100.0,98.74039632644924,98.23470815745443
34,100.0,98.78018200744954,98.29045906517263
35,100.0,98.81753131261358,98.34279636579465
36,100.0,98.85266138951934,98.3920242667431
37,100.0,98.88576432523608,98.43841187184088
38,100.0,98.91701066016373,98.48219810274838
39,100.0,98.94655232677158,98.52359581501572
40,100.0,98.97452512013291,98.56279525843401
41,100.0,99.00105078503199,98.59996700039807
42,100.0,99.02623878731892,98.63526440704999
43,100.0,99.05018782387252,98.66882575832805
44,100.0,99.07298711509218,98.7007760584289
45,100.0,99.09471751560352,98.73122859165728
46,100.0,99.11545247232382,98.76028626448195
47,100.0,99.13525885381195,98.78804276730413
48,100.0,99.15419767063611,98.81458358357624
49,100.0,99.17232470310913,98.83998686916885
