,mae,mse,rmse,r2
RUL_3C_battery-10_lstm_mmd,29.60176658630371,1493.1392822265625,38.641160466872144,-0.651195293836297
RUL_3C_battery-11_lstm_mmd,33.91182327270508,1732.24755859375,41.620278213795615,-1.856678543767664
RUL_3C_battery-12_lstm_mmd,23.474834442138672,1080.37109375,32.86899897699959,0.36855471158144004
RUL_3C_battery-13_lstm_mmd,24.853660583496094,1113.8787841796875,33.3748226089621,0.435822498577965
RUL_3C_battery-14_lstm_mmd,35.84066390991211,1986.67041015625,44.572081061537276,-1.448923045537307
RUL_3C_battery-15_lstm_mmd,40.106868743896484,2629.085205078125,51.2746058500514,-1.80358901958292
RUL_3C_battery-1_lstm_mmd,17.330198287963867,609.2913208007812,24.683827110089336,0.8491334274282131
RUL_3C_battery-2_lstm_mmd,16.780881881713867,482.1370544433594,21.95761950766429,0.877138962892209
RUL_3C_battery-3_lstm_mmd,26.62956428527832,1021.5480346679688,31.961665079716493,0.7514045473345181
RUL_3C_battery-4_lstm_mmd,17.678234100341797,572.2142333984375,23.920999841111104,0.888628012526934
RUL_3C_battery-5_lstm_mmd,20.084068298339844,792.145263671875,28.14507530051883,0.787392198944961
RUL_3C_battery-6_lstm_mmd,19.15901756286621,763.7890014648438,27.63673282906002,0.826973318999896
RUL_3C_battery-7_lstm_mmd,23.195043563842773,796.1060180664062,28.215350752142108,0.816549725919066
RUL_3C_battery-8_lstm_mmd,23.50025749206543,1010.8673706054688,31.794140507418483,0.6867335948255721
RUL_3C_battery-9_lstm_mmd,20.988481521606445,1193.0517578125,34.54058131839272,0.7282239046302941
0,24.875690968831382,1151.769492594401,33.01386262828876,0.15041126672912536
