,mae,mse,rmse,r2
RUL_R3_battery-1_lstm_mmd,48.53730773925781,3273.635498046875,57.21569276035094,0.9140865988678331
RUL_R3_battery-2_lstm_mmd,37.66655349731445,2440.22705078125,49.398654341806214,0.88982467663472
RUL_R3_battery-3_lstm_mmd,40.17207336425781,2640.74072265625,51.388137956694344,0.8974095955861401
RUL_R3_battery-4_lstm_mmd,43.602882385253906,3254.095458984375,57.044679497604115,0.8927841531972681
RUL_R3_battery-5_lstm_mmd,42.683319091796875,2853.82421875,53.42119634330553,0.9045977582932461
RUL_R3_battery-6_lstm_mmd,40.69789505004883,3154.5888671875,56.16572680191631,0.881269825114342
RUL_R3_battery-7_lstm_mmd,51.49567413330078,5166.638671875,71.87933410845568,0.607186118254544
RUL_R3_battery-8_lstm_mmd,47.708927154541016,4348.296875,65.94161717003914,0.8528739642719241
0,44.070579051971436,3391.5059204101562,57.806879872521534,0.8550040862775022
