,mae,mse,rmse,r2
RUL_3.6-6-5.6-4.755_11_lenet5_coral,42.902584075927734,3290.8291015625,57.365748505205616,0.9441338425550141
RUL_3.6-6-5.6-4.755_12_lenet5_coral,39.36752700805664,3315.614013671875,57.58136863319484,0.933238127105748
RUL_3.6-6-5.6-4.755_27_lenet5_coral,42.093910217285156,4447.2001953125,66.68733159538249,0.9263148742708011
RUL_3.6-6-5.6-4.755_29_lenet5_coral,44.47947692871094,3958.59033203125,62.917329345985834,0.917000486208526
RUL_3.6-6-5.6-4.755_38_lenet5_coral,25.822982788085938,1088.9117431640625,32.998662748118484,0.967872689216501
0,38.93329620361328,3220.2290771484377,55.51008816557745,0.937712003871318
