,mae,mse,rmse,r2,exp_itr
RUL_task9_OURS_xjtu_pseudo_2C_battery-1_task9,5.149489879608154,57.45521926879883,7.579922199249268,0.995099961757659,2024.0
RUL_task9_OURS_xjtu_pseudo_2C_battery-2_task9,4.441606044769287,51.669342041015625,7.188138961791992,0.9959980249404901,2024.0
RUL_task9_OURS_xjtu_pseudo_2C_battery-3_task9,4.325853824615478,48.2276725769043,6.944614410400391,0.996128857135772,2024.0
RUL_task9_OURS_xjtu_pseudo_2C_battery-4_task9,3.992858171463012,39.58061599731445,6.29131269454956,0.9968396425247191,2024.0
RUL_task9_OURS_xjtu_pseudo_2C_battery-5_task9,4.195114612579346,41.92763137817383,6.475154876708984,0.996755540370941,2024.0
RUL_task9_OURS_xjtu_pseudo_2C_battery-6_task9,3.924081563949585,36.01361083984375,6.001133918762207,0.997210979461669,2024.0
RUL_task9_OURS_xjtu_pseudo_2C_battery-7_task9,5.237337112426758,54.554046630859375,7.38607120513916,0.9958472847938531,2024.0
RUL_task9_OURS_xjtu_pseudo_2C_battery-8_task9,3.492326736450195,39.08500671386719,6.251800060272217,0.9971483945846551,2024.0
0,4.344833493232727,46.06414318084717,6.764768540859222,0.9963785856962197,
