,mae,mse,rmse,r2,exp_itr
SOH_task6_OURS_tongji_nca_CY25-025_1-#7_task6,0.087458081543445,0.009197074919939001,0.095901384949684,0.8798863887786861,2024.0
SOH_task6_OURS_tongji_nca_CY25-05_1-#12_task6,0.039986982941627,0.002317346399649,0.048138823360204,0.9677908420562741,2024.0
SOH_task6_OURS_tongji_nca_CY25-05_1-#18_task6,0.049461502581834,0.003620064817368,0.06016697362065301,0.9333303570747371,2024.0
SOH_task6_OURS_tongji_nca_CY25-05_1-#3_task6,0.036908686161041,0.00200310209766,0.044756028801202004,0.9656631350517271,2024.0
SOH_task6_OURS_tongji_nca_CY25-05_1-#5_task6,0.023987960070371003,0.0009395150118500001,0.03065150976181,0.983375132083892,2024.0
SOH_task6_OURS_tongji_nca_CY25-1_1-#4_task6,0.15257483720779402,0.036475956439971,0.19098679721355402,0.5304874777793881,2024.0
SOH_task6_OURS_tongji_nca_CY25-1_1-#5_task6,0.07887413352727801,0.009800212457776,0.09899602085351901,0.8760376572608941,2024.0
SOH_task6_OURS_tongji_nca_CY35-05_1-#1_task6,0.048296157270669,0.0035543555859470005,0.059618417173624004,0.944410026073455,2024.0
SOH_task6_OURS_tongji_nca_CY45-05_1-#11_task6,0.020753445103764003,0.000727490056306,0.026972023770213002,0.9867786169052121,2024.0
SOH_task6_OURS_tongji_nca_CY45-05_1-#15_task6,0.031144777312874003,0.0016195941716430002,0.040244180709123,0.97234970331192,2024.0
SOH_task6_OURS_tongji_nca_CY45-05_1-#18_task6,0.021864928305149002,0.000769831240177,0.027745833620429,0.9869637489318841,2024.0
SOH_task6_OURS_tongji_nca_CY45-05_1-#1_task6,0.019508939236402,0.0006090602837500001,0.024679146707057002,0.9896439313888551,2024.0
SOH_task6_OURS_tongji_nca_CY45-05_1-#25_task6,0.029506791383028003,0.001320009352639,0.036331932991743005,0.977615714073181,2024.0
0,0.04925594020348277,0.005611816371898077,0.06039915950252424,0.9226409792900081,
