,mae,mse,rmse,r2
SOH_DeNN_fusion_mit_task4_6-5.6-4.4-3.834_21,0.022020136937499,0.0012010849313810002,0.034656672249092,0.42413339317910004
SOH_DeNN_fusion_mit_task4_6-5.6-4.4-3.834_22,0.020607061684131,0.0008813104359430001,0.029686873125058,0.478474175649768
SOH_DeNN_fusion_mit_task4_6-5.6-4.4-3.834_31,0.021794786676764002,0.0010570163140070001,0.032511787308718,0.5338419478871841
SOH_DeNN_fusion_mit_task4_6-5.6-4.4-3.834_36,0.030878741294145,0.0035429259296500004,0.05952248255617901,0.26861770684345704
SOH_DeNN_fusion_mit_task4_6-5.6-4.4-3.834_9,0.021499319002032002,0.001037641661241,0.032212445750697004,0.53278717834705
0,0.023360009118914202,0.0015439958544444,0.037718052197948805,0.4475708803813118
