,mae,mse,rmse,r2
SOH_DeNN_fusion_mit_task3_4.8-5.2-5.2-4.16_1,0.021038889884948002,0.001072533428668,0.032749556159877,0.664570986942656
SOH_DeNN_fusion_mit_task3_4.8-5.2-5.2-4.16_10,0.021858569234609,0.0013056944590060001,0.036134394404862005,0.534930116248179
SOH_DeNN_fusion_mit_task3_4.8-5.2-5.2-4.16_2,0.018082290887832,0.000727231206838,0.026967224678079,0.6702462795481741
SOH_DeNN_fusion_mit_task3_4.8-5.2-5.2-4.16_20,0.019561126828193002,0.0009083619806910001,0.030139044123720003,0.7078913993817461
SOH_DeNN_fusion_mit_task3_4.8-5.2-5.2-4.16_42,0.025096056982874003,0.0017953957431010002,0.042372110439554,0.533955413941379
0,0.021127386763691202,0.0011618433636608001,0.0336724659612184,0.6223188392124268
