,mae,mse,rmse,r2,exp_itr
SOH_task11_CRNN_xjtu_pseudo_R3_battery-1_task11,0.07546829432249001,0.012027111835777001,0.10966818971688001,0.738547675322572,20241.0
SOH_task11_CRNN_xjtu_pseudo_R3_battery-2_task11,0.066466577351093,0.009501157328486,0.09747388023715,0.7904726338470061,20241.0
SOH_task11_CRNN_xjtu_pseudo_R3_battery-3_task11,0.073169983923435,0.013047588989138001,0.11422604339264501,0.722120829341626,20241.0
SOH_task11_CRNN_xjtu_pseudo_R3_battery-4_task11,0.075177155435085,0.012404898181557001,0.111377278569543,0.744690423148595,20241.0
SOH_task11_CRNN_xjtu_pseudo_R3_battery-5_task11,0.06203651055693601,0.009315178729593001,0.09651517357179501,0.7956166467840651,20241.0
SOH_task11_CRNN_xjtu_pseudo_R3_battery-6_task11,0.059521026909351,0.008566349744796,0.092554577114245,0.816620744484785,20241.0
SOH_task11_CRNN_xjtu_pseudo_R3_battery-7_task11,0.07339978963136601,0.01822124235332,0.13498608207263402,0.441555635661577,20241.0
SOH_task11_CRNN_xjtu_pseudo_R3_battery-8_task11,0.07173894345760301,0.013592451810836001,0.11658667081119001,0.701562660067226,20241.0
0,0.06962228519841988,0.012084497371687876,0.10917348693576026,0.7188984060821815,
