,mae,mse,rmse,r2
3.6-6-5.6-4.755_11,16.556110382080078,961.8572387695312,31.01382334975053,0.9817444932555681
3.6-6-5.6-4.755_12,32.42705154418945,2355.4326171875,48.5327993957437,0.9443345631352201
3.6-6-5.6-4.755_27,17.308246612548828,817.7127685546875,28.59567744528336,0.9873242358521611
3.6-6-5.6-4.755_29,14.455363273620605,521.7054443359375,22.84087223238065,0.9889021897921101
3.6-6-5.6-4.755_38,65.913818359375,5087.015625,71.32331754061921,0.781593368391952
0,29.332118034362793,1948.7447387695313,40.46129799275549,0.9367797700854024
